data_ini_se,SE,ano,semana_epi,casos,casos_est,casconf,p_inc100k,nivel,Rt,tempmin,tempmed,tempmax,umidmin,umidmed,umidmax,receptivo,transmissao,vetor_fonte,n_armadilhas,aegypti_total,aegypti_femea,aegypti_por_armadilha,imfa_femea,sem_sin,sem_cos,bloco
2021-07-04,202127,2021,27,1,1.0,,0.06719292,1,0.3656251,7.85714285714286,14.3413684285714,21.2857142857143,54.5281352857143,84.425218,100.0,0,0,marilia,1012.0,11.0,,0.010869565217391304,,-0.12053668025532283,-0.992708874098054,1
2021-07-11,202128,2021,28,3,3.0,,0.20157877,1,1.3118594,12.1428571428571,15.9640765714286,20.2857142857143,63.9138201428571,86.6662857142857,100.0,0,0,marilia,1011.0,22.0,,0.021760633036597428,,-0.23931566428755743,-0.9709418174260521,1
2021-07-18,202129,2021,29,2,2.0,,0.13438584,1,1.0299319,4.57142857142857,12.2876984285714,19.2857142857143,41.304886,71.0414075714286,95.6850642857143,0,0,marilia,1012.0,10.0,,0.009881422924901186,,-0.3546048870425356,-0.9350162426854148,1
2021-07-25,202130,2021,30,1,1.0,,0.06719292,1,0.47557676,5.71428571428571,11.9586463857143,17.4285714285714,48.0107287142857,73.8464042857143,96.2859714285714,0,0,marilia,1011.0,10.0,,0.009891196834817012,,-0.46472317204376806,-0.8854560256532101,1
2021-08-01,202131,2021,31,2,2.0,,0.13438584,1,1.0324486,9.14285714285714,14.6432012857143,20.4285714285714,58.9763604285714,83.8824442857143,100.0,0,0,marilia,1017.0,0.0,,0.0,,-0.5680647467311556,-0.8229838658936565,1
2021-08-08,202132,2021,32,0,0.0,,0.0,1,0.0,9.28571428571429,15.2145562857143,20.4285714285714,58.8806317142857,81.5842455714286,99.0860528571429,0,0,marilia,1020.0,6.0,,0.0058823529411764705,,-0.663122658240795,-0.7485107481711013,1
2021-08-15,202133,2021,33,2,2.0,,0.13438584,1,1.5757318,14.5714285714286,18.6544277142857,23.7142857142857,61.9649482857143,84.3283485714286,99.1328242857143,0,0,marilia,1022.0,6.0,,0.005870841487279843,,-0.7485107481711011,-0.6631226582407952,1
2021-08-22,202134,2021,34,0,0.0,,0.0,1,0.0,12.8571428571429,17.375491,21.5714285714286,59.7987212857143,82.5519142857143,100.0,0,0,marilia,1026.0,4.0,,0.003898635477582846,,-0.8229838658936564,-0.5680647467311559,1
2021-08-29,202135,2021,35,0,0.0,,0.0,1,0.0,14.0,20.4140255714286,26.1428571428571,48.0260951428571,73.3956392857143,98.2457614285714,0,0,marilia,1018.0,10.0,,0.009823182711198428,,-0.8854560256532096,-0.4647231720437691,1
2021-09-05,202136,2021,36,3,3.0,,0.20157877,1,4.580748,15.4285714285714,17.8201352857143,20.5714285714286,66.8140238571429,81.6691478571429,95.7158157142857,0,0,marilia,726.0,10.0,,0.013774104683195593,,-0.9350162426854147,-0.3546048870425359,1
