h,data,real,pred,variante
8,2024-10-06,4.0,14.887758274509558,atual
8,2024-10-20,1.0,0.0,atual
8,2024-11-03,19.0,5.466667888706732,atual
8,2024-11-17,32.0,0.0,atual
8,2024-12-01,47.0,8.25380171064463,atual
8,2024-12-15,161.0,42.98993685429153,atual
8,2024-12-29,383.0,792.4942968164755,atual
8,2025-01-12,917.0,884.8109703930951,atual
8,2025-01-26,1801.0,1318.2566888062627,atual
8,2025-02-09,2184.0,1877.6433938480277,atual
8,2025-02-23,2229.0,1618.196044779328,atual
8,2025-03-09,2159.0,664.9646913949413,atual
8,2025-03-23,1988.0,955.6575282765716,atual
8,2025-04-06,579.0,177.58517726831298,atual
8,2025-04-20,105.0,358.47993772567145,atual
8,2025-05-04,22.0,345.92208403646396,atual
8,2025-05-18,7.0,47.67338992029154,atual
8,2025-06-01,5.0,0.0,atual
8,2025-06-15,11.0,36.61048264704742,atual
8,2025-06-29,4.0,6.629575517335698,atual
8,2025-07-13,6.0,4.287857061256825,atual
8,2025-07-27,9.0,0.0,atual
8,2025-08-10,7.0,28.86297374555506,atual
8,2025-08-24,4.0,9.03354707215879,atual
8,2025-09-07,4.0,0.0,atual
8,2025-09-21,5.0,17.44110223470215,atual
8,2025-10-05,3.0,6.5338917578510065,atual
8,2025-10-19,1.0,0.0,atual
8,2025-11-02,0.0,11.476443527486365,atual
8,2025-11-16,1.0,0.0,atual
8,2025-11-30,1.0,0.1630228009624699,atual
12,2020-03-15,0.0,0.0,atual
12,2020-03-29,0.0,14.69184158522327,atual
12,2020-04-12,0.0,16.503547885979096,atual
12,2020-04-26,0.0,0.0,atual
12,2020-05-10,0.0,0.0,atual
12,2020-05-24,0.0,4.629899059056796,atual
12,2020-06-07,0.0,0.0,atual
12,2020-06-21,0.0,0.0,atual
12,2020-07-05,0.0,0.0,atual
12,2020-07-19,0.0,0.08361891602626939,atual
12,2020-08-02,0.0,0.0,atual
12,2020-08-16,0.0,0.0,atual
12,2020-08-30,0.0,0.0,atual
12,2020-09-13,0.0,0.2537234521162675,atual
12,2020-09-27,0.0,4.436957405219409,atual
12,2020-10-11,0.0,0.5560138126986843,atual
12,2020-10-25,0.0,0.0,atual
12,2020-11-08,0.0,5.42747033782525,atual
12,2020-11-22,0.0,6.020357824671976,atual
12,2020-12-06,0.0,4.125841367791855,atual
12,2020-12-20,0.0,7.321860056057843,atual
12,2021-01-03,1.0,11.486585332805804,atual
12,2021-01-17,12.0,9.03816038020178,atual
12,2021-01-31,8.0,23.99336997297895,atual
12,2021-02-14,9.0,13.17776511688484,atual
12,2021-02-28,0.0,35.15085416164877,atual
12,2021-03-14,1.0,23.00158765298902,atual
12,2021-03-28,0.0,10.984265369358551,atual
12,2021-04-11,1.0,4.673580713953623,atual
12,2021-04-25,1.0,2.805740664488238,atual
12,2021-05-09,0.0,2.9607256206507335,atual
12,2021-05-23,0.0,0.0,atual
12,2021-06-06,0.0,1.0422021700062605,atual
12,2021-06-20,0.0,0.5865232975842057,atual
12,2021-07-04,0.0,0.0,atual
12,2021-07-18,0.0,0.0,atual
12,2021-08-01,0.0,0.32260264457737137,atual
12,2021-08-15,0.0,0.0,atual
12,2021-08-29,0.0,0.0,atual
12,2021-09-12,1.0,0.0,atual
12,2021-09-26,0.0,0.4269974848071954,atual
12,2021-10-10,1.0,1.0638141768498104,atual
12,2021-10-24,2.0,2.0424235461938376,atual
12,2021-11-07,1.0,0.6989760313868919,atual
12,2021-11-21,9.0,5.106496102438494,atual
12,2021-12-05,51.0,3.8864297162669006,atual
12,2021-12-19,269.0,5.317716248498857,atual
12,2022-01-02,482.0,24.642554224310853,atual
12,2022-01-16,753.0,51.32901274814835,atual
12,2022-01-30,569.0,123.61929359029493,atual
12,2022-02-13,223.0,0.0,atual
12,2022-02-27,122.0,204.5442877204988,atual
12,2022-03-13,61.0,12.662554928163972,atual
12,2022-03-27,26.0,53.033722819300216,atual
12,2022-04-10,14.0,7.75349381531985,atual
