h,data,real,pred,maximo_visto_no_treino,variante
4,2023-02-26,250.0,378.5020667094876,879.0,log1p
4,2023-03-12,541.0,336.0949165533311,879.0,log1p
4,2023-03-26,581.0,620.6720455116067,879.0,log1p
4,2023-04-09,762.0,506.18765916904556,879.0,log1p
4,2023-04-23,473.0,152.640842052784,879.0,log1p
4,2023-05-07,225.0,85.05172367242544,879.0,log1p
4,2023-05-21,66.0,191.14542935042513,879.0,log1p
4,2023-06-04,74.0,58.70563008358624,879.0,log1p
4,2023-06-18,32.0,32.464988722584,879.0,log1p
4,2023-07-02,15.0,18.267313956272076,879.0,log1p
4,2023-07-16,13.0,23.959335594981905,879.0,log1p
4,2023-07-30,9.0,9.789031805192115,879.0,log1p
4,2023-08-13,9.0,0.6427770201413241,879.0,log1p
4,2023-08-27,0.0,0.8342798113609523,879.0,log1p
4,2023-09-10,5.0,0.9961833518076698,879.0,log1p
4,2023-09-24,3.0,1.4412942227461392,879.0,log1p
4,2023-10-08,6.0,3.853198769868721,879.0,log1p
4,2023-10-22,3.0,4.065560784180079,879.0,log1p
4,2023-11-05,7.0,1.1351416684028164,879.0,log1p
4,2023-11-19,3.0,0.9908239203184908,879.0,log1p
4,2023-12-03,9.0,3.8819048354420715,879.0,log1p
4,2023-12-17,12.0,2.3732436173609353,879.0,log1p
4,2023-12-31,39.0,3.2747369360915073,879.0,log1p
4,2024-01-14,156.0,19.24659718935001,879.0,log1p
4,2024-01-28,558.0,345.4579327750603,879.0,log1p
4,2024-02-11,1227.0,210.60424664888046,1311.0,log1p
4,2024-02-25,1109.0,382.99036693490274,1311.0,log1p
4,2024-03-10,1849.0,908.4620874924793,1601.0,log1p
4,2024-03-24,1855.0,945.5967734238379,1849.0,log1p
4,2024-04-07,911.0,991.6746526240461,1855.0,log1p
4,2024-04-21,646.0,619.4965532082083,1855.0,log1p
4,2024-05-05,199.0,142.99323399852636,1855.0,log1p
4,2024-05-19,277.0,222.73831573021832,1855.0,log1p
4,2024-06-02,89.0,87.10334100758624,1855.0,log1p
4,2024-06-16,10.0,36.42605180833254,1855.0,log1p
4,2024-06-30,22.0,21.020225241616984,1855.0,log1p
4,2024-07-14,16.0,6.847583663752442,1855.0,log1p
4,2024-07-28,14.0,3.9741788202258266,1855.0,log1p
4,2024-08-11,7.0,3.4983064094636784,1855.0,log1p
4,2024-08-25,7.0,7.102643263132734,1855.0,log1p
4,2024-09-08,6.0,4.861764908372542,1855.0,log1p
4,2024-09-22,3.0,4.257596199437703,1855.0,log1p
4,2024-10-06,1.0,4.29823718924214,1855.0,log1p
4,2024-10-20,0.0,1.877757539398363,1855.0,log1p
4,2024-11-03,4.0,3.599381430623112,1855.0,log1p
4,2024-11-17,1.0,2.006832141196847,1855.0,log1p
4,2024-12-01,19.0,4.580365255887255,1855.0,log1p
4,2024-12-15,32.0,8.15144345240863,1855.0,log1p
4,2024-12-29,47.0,81.2404679645314,1855.0,log1p
4,2025-01-12,161.0,128.63473859738164,1855.0,log1p
4,2025-01-26,383.0,461.49675352146335,1855.0,log1p
4,2025-02-09,917.0,862.241030442809,1855.0,log1p
4,2025-02-23,1801.0,991.5822042620807,1855.0,log1p
4,2025-03-09,2184.0,822.3475591687891,2381.0,log1p
4,2025-03-23,2229.0,1769.160167250778,2381.0,log1p
4,2025-04-06,2159.0,1003.3613383533364,2381.0,log1p
4,2025-04-20,1988.0,866.7108421373312,2381.0,log1p
4,2025-05-04,579.0,284.7997495517094,2381.0,log1p
4,2025-05-18,105.0,310.2654711071045,2381.0,log1p
4,2025-06-01,22.0,164.99783791887663,2381.0,log1p
4,2025-06-15,7.0,40.17089736536249,2381.0,log1p
4,2025-06-29,5.0,10.422537705110035,2381.0,log1p
4,2025-07-13,11.0,5.125040053825593,2381.0,log1p
4,2025-07-27,4.0,2.5630939554572354,2381.0,log1p
4,2025-08-10,6.0,2.0539111604261553,2381.0,log1p
4,2025-08-24,9.0,0.7102453749576741,2381.0,log1p
4,2025-09-07,7.0,3.3212625086503564,2381.0,log1p
4,2025-09-21,4.0,3.1078205493946336,2381.0,log1p
4,2025-10-05,4.0,2.3024929747904683,2381.0,log1p
4,2025-10-19,5.0,1.9361240184503632,2381.0,log1p
4,2025-11-02,3.0,5.758630011317737,2381.0,log1p
4,2025-11-16,1.0,1.4423016645704478,2381.0,log1p
4,2025-11-30,0.0,3.247131972092463,2381.0,log1p
4,2025-12-14,1.0,5.704825049557848,2381.0,log1p
4,2025-12-28,1.0,0.9407714537808821,2381.0,log1p
8,2020-03-15,0.0,7.092835450178936,64.0,log1p
8,2020-03-29,0.0,0.5249983500473633,64.0,log1p
8,2020-04-12,0.0,1.1221269642617158,64.0,log1p
8,2020-04-26,0.0,0.2367421235827667,64.0,log1p
8,2020-05-10,0.0,-0.07043782196790971,64.0,log1p
8,2020-05-24,0.0,0.07431962637760625,64.0,log1p
8,2020-06-07,0.0,0.14613575448065064,64.0,log1p
8,2020-06-21,0.0,-0.07377526036589262,64.0,log1p
8,2020-07-05,0.0,0.00215417999062103,64.0,log1p
8,2020-07-19,0.0,0.000784683757849126,64.0,log1p
8,2020-08-02,0.0,0.029640226592447215,64.0,log1p
8,2020-08-16,0.0,-0.03812211442900646,64.0,log1p
8,2020-08-30,0.0,-0.0479455152864648,64.0,log1p
8,2020-09-13,0.0,-0.05902674395779249,64.0,log1p
8,2020-09-27,0.0,-0.07666347648763325,64.0,log1p
8,2020-10-11,0.0,0.14074583165034016,64.0,log1p
8,2020-10-25,0.0,-0.01888984835329924,64.0,log1p
8,2020-11-08,0.0,1.525437103471959,64.0,log1p
8,2020-11-22,0.0,1.2492334047190519,64.0,log1p
8,2020-12-06,0.0,0.6555065485064936,64.0,log1p
8,2020-12-20,0.0,1.9527688733774962,64.0,log1p
8,2021-01-03,0.0,1.384365698738798,64.0,log1p
8,2021-01-17,0.0,3.064800913088641,64.0,log1p
8,2021-01-31,1.0,5.042399363819405,64.0,log1p
8,2021-02-14,12.0,4.273355854493764,64.0,log1p
8,2021-02-28,8.0,17.730744489271682,64.0,log1p
8,2021-03-14,9.0,2.144704023883641,64.0,log1p
8,2021-03-28,0.0,3.032666170425885,64.0,log1p
8,2021-04-11,1.0,19.581927976634777,64.0,log1p
8,2021-04-25,0.0,1.2163324804742575,64.0,log1p
8,2021-05-09,1.0,0.2551186336173874,64.0,log1p
8,2021-05-23,1.0,0.20020631373975334,64.0,log1p
8,2021-06-06,0.0,0.22834054628682682,64.0,log1p
8,2021-06-20,0.0,-0.1052280516237873,64.0,log1p
8,2021-07-04,0.0,-0.02117589284359661,64.0,log1p
